family,category,python_reference,ir_adjoint,bwd_cpu_ir_oracle,bwd_target_lowered,bwd_runtime_bound,bwd_oracle_proven,bwd_device_verified_jit,bwd_device_verified_abi,build_evidence,notes,bwd_residual_policy,bwd_implementation
abs,numeric_helper,yes,none,,,,,,,python_reference=python-unit-registry,,,
absolute,numeric_helper,yes,none,,,,,,,python_reference=python-unit-registry,,,
acos,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
adafactor,functional_optimizer_step,yes,none,,,,,,,python_reference=python-unit-registry,,,
adam,functional_optimizer_step,yes,native,,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core,native compiler adjoint,,
adamw,functional_optimizer_step,yes,none,,,,,,,python_reference=python-unit-registry,,,
adaptive_pool,pooling,yes,none,,,,,,,python_reference=python-unit-registry,,,
add,elementwise,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint,,
alibi,position_encoding,yes,none,,,,,,,python_reference=python-unit-registry,,,
all_gather,collective,yes,native,,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core,native compiler adjoint,,
all_reduce,collective,yes,native,,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core,native compiler adjoint,,
all_to_all,collective,yes,none,,,,,,,python_reference=python-unit-registry,,,
amax,reduction,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint (static extent required for mean),,
amin,reduction,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint (static extent required for mean),,
asin,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
asymmetric_bce,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
atan,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
atan2,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
attn_compressed_blocks,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
attn_local_window_2d,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
attn_sliding_window,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
attn_top_k_blocks,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
avg_pool,pooling,yes,none,,,,,,,python_reference=python-unit-registry,,,
batched_gemm,loop_nest,yes,none,,,,,,,python_reference=python-unit-registry,,,
bidirectional_scan,recurrent,yes,none,,,,,,,python_reference=python-unit-registry,,,
binary_cross_entropy_loss,loss,yes,native,,rocm_gfx1151,"rocm_gfx1151,x86_avx512","rocm_gfx1151,x86_avx512",rocm_gfx1151,x86_avx512,python_reference=python-unit-registry;ir_adjoint=llvm23-core;device[rocm_gfx1151=LLVM/MLIR 23; ROCm 7.14; gfx1151];device[x86_avx512=LLVM/MLIR 23; Ryzen AI MAX+ 395 AVX-512],"native compiler adjoint; native backward executes on rocm_gfx1151, x86_avx512 (Phase 4)",rocm_gfx1151=save_inputs;x86_avx512=save_inputs,rocm_gfx1151=dedicated;x86_avx512=dedicated
broadcast,tensor_algebra,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint,,
broadcast_to_axis,collective,yes,none,,,,,,,python_reference=python-unit-registry,,,
bsmm,sparse,yes,none,,,,,,,python_reference=python-unit-registry,,,
calibration_observer,quantization,yes,none,,,,,,,python_reference=python-unit-registry,,,
cast,layout_transform,yes,none,,,,,,,python_reference=python-unit-registry,,,
cat,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
center_crop,vision,yes,none,,,,,,,python_reference=python-unit-registry,,,
cholesky,linalg_decomposition,yes,none,,,,,,,python_reference=python-unit-registry,,,
chunk,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
cispo_policy_loss,rl_loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
clamp,numeric_helper,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_codiff,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_conjugate,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_exp,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_ext_deriv,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_geometric_product,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_grade_involution,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_grade_projection,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_hodge_star,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_inner,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_left_contraction,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_log,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_norm,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_norm_squared,reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_reverse,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_rotor_sandwich,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_vec_deriv,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clifford_wedge,geometric_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
clip,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
collective_permute,collective,yes,none,,,,,,,python_reference=python-unit-registry,,,
contrastive_divergence_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
