registry,op,law,status,probes
algebra,W1,enclosure,pass,60
algebra,W1,homomorphism,pass,8
algebra,W1,quotient,pass,6
algebra,W2,enclosure,pass,60
algebra,W2,homomorphism,pass,8
algebra,W2,quotient,pass,6
algebra,W3,enclosure,pass,60
algebra,W3,homomorphism,pass,8
algebra,W3,quotient,pass,6
algebra,W4,enclosure,pass,60
algebra,W4,homomorphism,pass,8
algebra,W4,quotient,pass,6
algebra,hutchinson,unbiasedness,pass,2
algebra,hvp,hessian_second_difference,pass,2
algebra,hvp,hessian_symmetry,pass,2
field_calculus,codiff_is_adjoint_to_ext_deriv,vector_identity,pass,3
field_calculus,codiff_squared_is_zero,vector_identity,pass,2
field_calculus,d_squared_is_zero,vector_identity,pass,2
field_calculus,divergence_product_rule,vector_identity,pass,2
field_calculus,ext_deriv_matches_analytic_gradient,vector_identity,pass,2
geometric,add,adjoint,pass,4
geometric,conjugate,adjoint,pass,4
geometric,geometric_product,adjoint,pass,4
geometric,grade_involution,adjoint,pass,4
geometric,grade_projection,adjoint,pass,4
geometric,hodge_star,adjoint,pass,4
geometric,inner,adjoint,pass,4
geometric,left_contraction,adjoint,pass,4
geometric,neg,adjoint,pass,4
geometric,norm,adjoint,pass,4
geometric,norm_squared,adjoint,pass,4
geometric,reverse,adjoint,pass,4
geometric,rotor_sandwich,adjoint,pass,4
geometric,scalar_mul,adjoint,pass,4
geometric,sub,adjoint,pass,4
geometric,wedge,adjoint,pass,4
tensor,abs,adjoint,pass,4
tensor,abs,chain,pass,2
tensor,abs,kink,pass,1
tensor,absolute,adjoint,pass,4
tensor,absolute,chain,pass,2
tensor,absolute,kink,pass,1
tensor,acos,adjoint,pass,4
tensor,acos,chain,pass,2
tensor,adafactor,adjoint,pass,4
tensor,adafactor,chain,not_applicable,0
tensor,adam,adjoint,pass,4
tensor,adam,chain,not_applicable,0
tensor,adamw,adjoint,pass,4
tensor,adamw,chain,not_applicable,0
tensor,adaptive_pool,adjoint,no_spec,0
tensor,add,adjoint,pass,4
tensor,add,chain,pass,2
tensor,alibi,adjoint,pass,4
tensor,all_gather,adjoint,pass,4
tensor,all_gather,chain,pass,2
tensor,all_reduce,adjoint,pass,4
tensor,all_reduce,chain,pass,2
tensor,all_to_all,adjoint,pass,4
tensor,amax,adjoint,pass,4
tensor,amax,chain,pass,2
tensor,amax,kink,pass,1
tensor,amin,adjoint,pass,4
tensor,amin,chain,pass,2
