target,family,compiled_route,status
nvidia_sm120,attention_backward_lse,—,gap
nvidia_sm120,attention_lse,—,gap
nvidia_sm120,attention_backward,—,gap
nvidia_sm120,paged_kv,—,gap
nvidia_sm120,attention,scheduled_attention.supports_scheduled_attention,compiled
nvidia_sm120,softmax,—,gap
nvidia_sm120,norm,—,gap
nvidia_sm120,reduction,—,gap
nvidia_sm120,nvfp4_matmul,—,gap
nvidia_sm120,int4_matmul,—,gap
nvidia_sm120,mx_matmul,—,gap
nvidia_sm120,matmul,scheduled_matmul.supports_scheduled_matmul,compiled
rocm_gfx1151,softmax,—,gap
rocm_gfx1151,reduction,—,gap
rocm_gfx1151,paged_kv,—,gap
rocm_gfx1151,attention,scheduled_attention.supports_scheduled_attention,compiled
rocm_gfx1151,moe_dispatch,—,gap
x86,softmax,—,gap
x86,reduction,—,gap
x86,matmul,scheduled_matmul.supports_scheduled_matmul,compiled
x86,attention,scheduled_attention.supports_scheduled_attention,compiled
x86,cohort2,—,gap
x86,breadth,—,gap
x86,elementwise,—,gap
apple_cpu,batched_gemm,—,gap
apple_cpu,cholesky,—,gap
apple_cpu,cholesky_solve,—,gap
apple_cpu,gemm,—,gap
apple_cpu,lu,—,gap
apple_cpu,matmul,—,gap
apple_cpu,qr,—,gap
apple_cpu,softmax,—,gap
apple_cpu,svd,—,gap
apple_cpu,tri_solve,—,gap
apple_gpu,batched_gemm,—,gap
apple_gpu,softmax,—,gap
apple_gpu,dynamic_softmax,—,gap
apple_gpu,transpose,—,gap
apple_gpu,gelu,—,gap
apple_gpu,dynamic_gelu,—,gap
apple_gpu,dynamic_popcount,—,gap
apple_gpu,dynamic_count_nonzero,—,gap
apple_gpu,dynamic_topk,—,gap
apple_gpu,svd,—,gap
apple_gpu,value_cholesky,—,gap
apple_gpu,value_cholesky_solve,—,gap
apple_gpu,value_clifford_geometric_product,—,gap
apple_gpu,value_ebm_energy_quadratic,—,gap
apple_gpu,value_ebm_langevin_step,—,gap
apple_gpu,value_ebm_partition_exact,—,gap
apple_gpu,value_ebm_refinement,—,gap
apple_gpu,value_rl_ppo_policy_loss,—,gap
apple_gpu,value_tri_solve,—,gap
