op,graph_name,family,tsol,dtype,physical_storage,accumulators,frontend,graph_ir,schedule_ir,tile_ir,cpu,x86,apple_cpu,apple_gpu,nvidia_sm120,rocm_gfx1151,rocm_gfx1200,rocm_gfx1250,rocm_gfx1251,gaps
spec_accept,tessera.spec_accept,acceptance_verification,no,bf16,bf16,fp32,public,registered,complete,planned,unsupported,legal_only,unsupported,unsupported,absent,unsupported,absent,absent,absent,tile/physical/direct_test
spec_accept,tessera.spec_accept,acceptance_verification,no,fp32,fp32,fp32,public,registered,complete,fused,reference,legal_only,reference,device_verified_jit,absent,unsupported,absent,absent,absent,
spec_accept,tessera.spec_accept,acceptance_verification,no,int32,int32,fp32,public,registered,complete,fused,unsupported,unsupported,unsupported,unsupported,absent,device_verified_jit,absent,absent,absent,
spec_accept_sample,tessera.spec_accept_sample,acceptance_verification,no,bf16,bf16,fp32,public,registered,complete,planned,unsupported,legal_only,unsupported,unsupported,absent,unsupported,absent,absent,absent,tile/physical/direct_test
spec_accept_sample,tessera.spec_accept_sample,acceptance_verification,no,fp32,fp32,fp32,public,registered,complete,fused,reference,legal_only,reference,device_verified_jit,absent,device_verified_jit,absent,absent,absent,
spec_accept_sample,tessera.spec_accept_sample,acceptance_verification,no,int32,int32,fp32,public,registered,complete,fused,unsupported,unsupported,unsupported,unsupported,absent,device_verified_jit,absent,absent,absent,
spec_accept_tree_sample,tessera.spec_accept_tree_sample,acceptance_verification,no,bf16,bf16,fp32,public,registered,complete,planned,unsupported,legal_only,unsupported,unsupported,absent,unsupported,absent,absent,absent,tile/physical/direct_test
spec_accept_tree_sample,tessera.spec_accept_tree_sample,acceptance_verification,no,fp32,fp32,fp32,public,registered,complete,fused,reference,legal_only,reference,device_verified_jit,absent,device_verified_jit,absent,absent,absent,
target_verify,tessera.target_verify,acceptance_verification,no,bf16,bf16,fp32,public,registered,complete,planned,unsupported,legal_only,unsupported,absent,absent,absent,absent,absent,absent,tile/physical/direct_test
target_verify,tessera.target_verify,acceptance_verification,no,fp32,fp32,fp32,public,registered,complete,reference,reference,legal_only,reference,absent,absent,absent,absent,absent,absent,physical/direct_test
attn_compressed_blocks,tessera.attn_compressed_blocks,attention,no,bf16,bf16,fp32,public,registered,complete,planned,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,absent,absent,absent,tile/physical/direct_test
attn_compressed_blocks,tessera.attn_compressed_blocks,attention,no,fp32,fp32,fp32,public,registered,complete,fused,reference,device_verified_jit,reference,fused,artifact_only,device_verified_jit,absent,absent,absent,
attn_local_window_2d,tessera.attn_local_window_2d,attention,no,bf16,bf16,fp32,public,registered,complete,planned,unsupported,unsupported,unsupported,unsupported,absent,unsupported,absent,absent,absent,tile/physical/direct_test
attn_local_window_2d,tessera.attn_local_window_2d,attention,no,fp32,fp32,fp32,public,registered,complete,fused,reference,device_verified_jit,reference,fused,absent,device_verified_jit,absent,absent,absent,
attn_sliding_window,tessera.attn_sliding_window,attention,no,bf16,bf16,fp32,public,registered,complete,fused,unsupported,unsupported,unsupported,absent,unsupported,device_verified_jit,absent,absent,absent,
attn_sliding_window,tessera.attn_sliding_window,attention,no,fp16,fp16,fp32,public,registered,complete,fused,unsupported,unsupported,unsupported,absent,unsupported,device_verified_jit,absent,absent,absent,
attn_sliding_window,tessera.attn_sliding_window,attention,no,fp32,fp32,fp32,public,registered,complete,fused,reference,device_verified_jit,reference,absent,artifact_only,unsupported,absent,absent,absent,
attn_top_k_blocks,tessera.attn_top_k_blocks,attention,no,bf16,bf16,fp32,public,registered,complete,planned,unsupported,unsupported,unsupported,unsupported,unsupported,unsupported,absent,absent,absent,tile/physical/direct_test
attn_top_k_blocks,tessera.attn_top_k_blocks,attention,no,fp32,fp32,fp32,public,registered,complete,fused,reference,device_verified_jit,reference,fused,artifact_only,device_verified_jit,absent,absent,absent,
deepseek_sparse_attention,tessera.deepseek_sparse_attention,attention,no,bf16,bf16,fp32,public,registered,complete,planned,unsupported,unsupported,unsupported,absent,unsupported,unsupported,absent,absent,absent,tile/physical/direct_test
deepseek_sparse_attention,tessera.deepseek_sparse_attention,attention,no,fp32,fp32,fp32,public,registered,complete,fused,reference,device_verified_jit,reference,absent,artifact_only,device_verified_jit,absent,absent,absent,
depth_attn,tessera.depth_attn,attention,no,bf16,bf16,fp32,public,registered,complete,planned,unsupported,unsupported,unsupported,absent,unsupported,unsupported,absent,absent,absent,tile/physical/direct_test
depth_attn,tessera.depth_attn,attention,no,fp32,fp32,fp32,public,registered,complete,reference,reference,reference,reference,absent,planned,planned,absent,absent,absent,physical/direct_test
flash_attn,tessera.flash_attn,attention,yes,bf16,bf16,fp32,public,registered,complete,fused,unsupported,unsupported,unsupported,device_verified_abi,device_verified_jit,device_verified_abi,absent,absent,absent,
flash_attn,tessera.flash_attn,attention,yes,fp16,fp16,fp32,public,registered,complete,fused,unsupported,unsupported,unsupported,device_verified_abi,device_verified_jit,device_verified_abi,absent,absent,absent,
flash_attn,tessera.flash_attn,attention,yes,fp32,fp32,fp32,public,registered,complete,fused,reference,device_verified_jit,reference,device_verified_abi,device_verified_jit,unsupported,absent,absent,absent,
gated_attention,tessera.gated_attention,attention,no,bf16,bf16,fp32,public,registered,complete,fused,unsupported,legal_only,unsupported,absent,unsupported,device_verified_jit,absent,absent,absent,
gated_attention,tessera.gated_attention,attention,no,fp16,fp16,fp32,public,registered,complete,fused,unsupported,unsupported,unsupported,absent,unsupported,device_verified_jit,absent,absent,absent,
gated_attention,tessera.gated_attention,attention,no,fp32,fp32,fp32,public,registered,complete,fused,reference,legal_only,reference,absent,artifact_only,unsupported,absent,absent,absent,direct_test
gated_deltanet,tessera.gated_deltanet,attention,no,bf16,bf16,fp32,public,registered,complete,fused,unsupported,unsupported,unsupported,absent,unsupported,device_verified_jit,absent,absent,absent,
gated_deltanet,tessera.gated_deltanet,attention,no,fp16,fp16,fp32,public,registered,complete,fused,unsupported,unsupported,unsupported,absent,unsupported,device_verified_jit,absent,absent,absent,
gated_deltanet,tessera.gated_deltanet,attention,no,fp32,fp32,fp32,public,registered,complete,fused,reference,device_verified_jit,reference,absent,device_verified_jit,device_verified_jit,absent,absent,absent,
gqa_attention,tessera.gqa_attention,attention,no,bf16,bf16,fp32,public,registered,complete,fused,unsupported,unsupported,unsupported,absent,unsupported,device_verified_jit,absent,absent,absent,
