name,declared_effect,expected_effect,matches_anchor,has_numeric_policy,determinism_aware
abs,pure,,1,0,0
absolute,pure,,1,0,0
acos,pure,,1,0,0
adafactor,pure,,1,0,0
adam,pure,,1,0,0
adamw,pure,,1,0,0
add,pure,,1,0,0
alibi,pure,,1,0,0
all_gather,collective,collective,1,0,0
all_reduce,collective,collective,1,0,0
all_to_all,collective,collective,1,0,0
amax,pure,,1,0,0
amin,pure,,1,0,0
arange,pure,,1,0,0
argmax,pure,,1,0,0
argmin,pure,,1,0,0
argsort,pure,,1,0,0
asin,pure,,1,0,0
asymmetric_bce,pure,,1,0,0
atan,pure,,1,0,0
atan2,pure,,1,0,0
attn_compressed_blocks,state,,1,1,1
attn_local_window_2d,state,,1,1,1
attn_sliding_window,state,,1,1,1
attn_top_k_blocks,state,,1,1,1
batched_gemm,pure,,1,1,0
binary_cross_entropy_loss,pure,,1,0,0
bitwise_and,pure,,1,0,0
bitwise_not,pure,,1,0,0
bitwise_or,pure,,1,0,0
bitwise_xor,pure,,1,0,0
broadcast,pure,,1,0,0
bsmm,pure,,1,0,0
cast,pure,pure,1,0,0
cat,pure,,1,0,0
ceil,pure,,1,0,0
check_cauchy_riemann,pure,,1,0,0
cholesky,pure,,1,0,0
cholesky_solve,pure,,1,0,0
chunk,pure,,1,0,0
cispo_policy_loss,pure,,1,0,0
clamp,pure,,1,0,0
clifford_codiff,pure,,1,0,0
clifford_conjugate,pure,,1,0,0
clifford_exp,pure,,1,0,0
clifford_ext_deriv,pure,,1,0,0
clifford_geometric_product,pure,,1,0,0
clifford_grade_involution,pure,,1,0,0
clifford_grade_projection,pure,,1,0,0
clifford_hodge_star,pure,,1,0,0
clifford_inner,pure,,1,0,0
clifford_left_contraction,pure,,1,0,0
clifford_log,pure,,1,0,0
clifford_norm,pure,,1,0,0
clifford_norm_squared,pure,,1,0,0
clifford_reverse,pure,,1,0,0
clifford_rotor_sandwich,pure,,1,0,0
clifford_vec_deriv,pure,,1,0,0
clifford_wedge,pure,,1,0,0
clip,pure,,1,0,0
complex_abs,pure,,1,0,0
complex_arg,pure,,1,0,0
complex_conjugate,pure,,1,0,0
complex_div,pure,,1,0,0
complex_exp,pure,,1,0,0
complex_log,pure,,1,0,0
complex_mul,pure,,1,0,0
complex_pow,pure,,1,0,0
complex_sqrt,pure,,1,0,0
conformal_energy_on_sphere,pure,,1,0,0
conformal_jacobian,pure,,1,0,0
contrastive_divergence_loss,pure,,1,0,0
conv2d,pure,pure,1,1,0
conv3d,pure,pure,1,1,0
cos,pure,,1,0,0
cosh,pure,,1,0,0
count_nonzero,pure,,1,0,0
cross_entropy_loss,pure,,1,0,0
cross_ratio,pure,,1,0,0
cummax,pure,,1,0,0
cummin,pure,,1,0,0
cumprod,pure,,1,0,0
cumsum,pure,,1,0,0
dbar,pure,,1,0,0
