primitive,target,route
add,apple_cpu,unclassified
add,apple_gpu,unclassified
add,nvidia_sm120,none
add,rocm_gfx1151,none
add,x86,bootstrap
amax,apple_cpu,unclassified
amax,apple_gpu,unclassified
amax,nvidia_sm120,bootstrap
amax,rocm_gfx1151,bootstrap
amax,x86,bootstrap
amin,apple_cpu,unclassified
amin,apple_gpu,unclassified
amin,nvidia_sm120,bootstrap
amin,rocm_gfx1151,none
amin,x86,none
depth_attn,apple_cpu,unclassified
depth_attn,apple_gpu,unclassified
depth_attn,nvidia_sm120,none
depth_attn,rocm_gfx1151,compiled
depth_attn,x86,none
div,apple_cpu,unclassified
div,apple_gpu,unclassified
div,nvidia_sm120,none
div,rocm_gfx1151,none
div,x86,bootstrap
erf,apple_cpu,unclassified
erf,apple_gpu,unclassified
erf,nvidia_sm120,none
erf,rocm_gfx1151,none
erf,x86,bootstrap
exp,apple_cpu,unclassified
exp,apple_gpu,unclassified
exp,nvidia_sm120,none
exp,rocm_gfx1151,none
exp,x86,bootstrap
flash_attn,apple_cpu,unclassified
flash_attn,apple_gpu,unclassified
flash_attn,nvidia_sm120,compiled
flash_attn,rocm_gfx1151,compiled
flash_attn,x86,compiled
gelu,apple_cpu,unclassified
gelu,apple_gpu,unclassified
gelu,nvidia_sm120,none
gelu,rocm_gfx1151,none
gelu,x86,bootstrap
layer_norm,apple_cpu,unclassified
layer_norm,apple_gpu,unclassified
layer_norm,nvidia_sm120,bootstrap
layer_norm,rocm_gfx1151,none
layer_norm,x86,none
log,apple_cpu,unclassified
log,apple_gpu,unclassified
log,nvidia_sm120,none
log,rocm_gfx1151,none
log,x86,bootstrap
matmul,apple_cpu,unclassified
matmul,apple_gpu,unclassified
matmul,nvidia_sm120,compiled
matmul,rocm_gfx1151,none
matmul,x86,compiled
max,apple_cpu,unclassified
max,apple_gpu,unclassified
max,nvidia_sm120,bootstrap
max,rocm_gfx1151,bootstrap
max,x86,bootstrap
maximum,apple_cpu,unclassified
maximum,apple_gpu,unclassified
maximum,nvidia_sm120,none
maximum,rocm_gfx1151,none
maximum,x86,bootstrap
mean,apple_cpu,unclassified
mean,apple_gpu,unclassified
mean,nvidia_sm120,bootstrap
mean,rocm_gfx1151,bootstrap
mean,x86,bootstrap
min,apple_cpu,unclassified
min,apple_gpu,unclassified
min,nvidia_sm120,bootstrap
min,rocm_gfx1151,none
min,x86,none
minimum,apple_cpu,unclassified
minimum,apple_gpu,unclassified
minimum,nvidia_sm120,none
minimum,rocm_gfx1151,none
minimum,x86,bootstrap
moe_dispatch,apple_cpu,unclassified
moe_dispatch,apple_gpu,unclassified
moe_dispatch,nvidia_sm120,none
moe_dispatch,rocm_gfx1151,bootstrap
moe_dispatch,x86,none
mul,apple_cpu,unclassified
mul,apple_gpu,unclassified
mul,nvidia_sm120,none
mul,rocm_gfx1151,none
mul,x86,bootstrap
pow,apple_cpu,unclassified
pow,apple_gpu,unclassified
pow,nvidia_sm120,none
pow,rocm_gfx1151,none
pow,x86,bootstrap
rmsnorm,apple_cpu,unclassified
rmsnorm,apple_gpu,unclassified
rmsnorm,nvidia_sm120,bootstrap
rmsnorm,rocm_gfx1151,none
rmsnorm,x86,none
rsqrt,apple_cpu,unclassified
rsqrt,apple_gpu,unclassified
rsqrt,nvidia_sm120,none
rsqrt,rocm_gfx1151,none
rsqrt,x86,bootstrap
sigmoid,apple_cpu,unclassified
sigmoid,apple_gpu,unclassified
sigmoid,nvidia_sm120,none
sigmoid,rocm_gfx1151,none
sigmoid,x86,bootstrap
sign,apple_cpu,unclassified
sign,apple_gpu,unclassified
sign,nvidia_sm120,none
sign,rocm_gfx1151,none
sign,x86,bootstrap
silu,apple_cpu,unclassified
silu,apple_gpu,unclassified
silu,nvidia_sm120,none
silu,rocm_gfx1151,none
silu,x86,bootstrap
softmax,apple_cpu,unclassified
softmax,apple_gpu,unclassified
softmax,nvidia_sm120,bootstrap
softmax,rocm_gfx1151,bootstrap
softmax,x86,bootstrap
sqrt,apple_cpu,unclassified
sqrt,apple_gpu,unclassified
sqrt,nvidia_sm120,none
sqrt,rocm_gfx1151,none
sqrt,x86,bootstrap
sub,apple_cpu,unclassified
sub,apple_gpu,unclassified
sub,nvidia_sm120,none
sub,rocm_gfx1151,none
sub,x86,bootstrap
sum,apple_cpu,unclassified
sum,apple_gpu,unclassified
sum,nvidia_sm120,bootstrap
sum,rocm_gfx1151,bootstrap
sum,x86,bootstrap
tanh,apple_cpu,unclassified
tanh,apple_gpu,unclassified
tanh,nvidia_sm120,none
tanh,rocm_gfx1151,none
tanh,x86,bootstrap
where,apple_cpu,unclassified
where,apple_gpu,unclassified
where,nvidia_sm120,none
where,rocm_gfx1151,none
where,x86,bootstrap
