backend,symbol,op_family,dtype,path
apple,tessera_apple_cpu_cholesky_f32,cholesky,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_cpu_runtime.cpp
apple,tessera_apple_cpu_cholesky_solve_f32,cholesky_solve,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_cpu_runtime.cpp
apple,tessera_apple_cpu_gemm_bf16,gemm,bf16,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_cpu_runtime.cpp
apple,tessera_apple_cpu_gemm_f16,gemm,f16,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_cpu_runtime.cpp
apple,tessera_apple_cpu_gemm_f32,gemm,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_cpu_runtime.cpp
apple,tessera_apple_cpu_gemm_f32_batched,gemm_f32_batched,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_cpu_runtime.cpp
apple,tessera_apple_cpu_lu_f32,lu,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_cpu_runtime.cpp
apple,tessera_apple_cpu_qr_f32,qr,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_cpu_runtime.cpp
apple,tessera_apple_cpu_runtime_has_accelerate,runtime_has_accelerate,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_cpu_runtime.cpp
apple,tessera_apple_cpu_svd_f32,svd,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_cpu_runtime.cpp
apple,tessera_apple_cpu_tri_solve_f32,tri_solve,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_cpu_runtime.cpp
apple,tessera_apple_gpu_aligned_buffer_nbytes,aligned_buffer_nbytes,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime.mm
apple,tessera_apple_gpu_aligned_buffer_nbytes,aligned_buffer_nbytes,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime_stub.cpp
apple,tessera_apple_gpu_asymmetric_bce_f32,asymmetric_bce,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime.mm
apple,tessera_apple_gpu_asymmetric_bce_f32,asymmetric_bce,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime_stub.cpp
apple,tessera_apple_gpu_binary_dev_f32_enc,binary_dev_f32_enc,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime.mm
apple,tessera_apple_gpu_binary_dev_f32_enc,binary_dev_f32_enc,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime_stub.cpp
apple,tessera_apple_gpu_bmm_bf16,bmm,bf16,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime.mm
apple,tessera_apple_gpu_bmm_bf16,bmm,bf16,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime_stub.cpp
apple,tessera_apple_gpu_bmm_dev_bf16_enc,bmm_dev_bf16_enc,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime.mm
apple,tessera_apple_gpu_bmm_dev_bf16_enc,bmm_dev_bf16_enc,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime_stub.cpp
apple,tessera_apple_gpu_bmm_dev_f16_enc,bmm_dev_f16_enc,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime.mm
apple,tessera_apple_gpu_bmm_dev_f16_enc,bmm_dev_f16_enc,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime_stub.cpp
apple,tessera_apple_gpu_bmm_dev_f32,bmm_dev,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime.mm
apple,tessera_apple_gpu_bmm_dev_f32,bmm_dev,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime_stub.cpp
apple,tessera_apple_gpu_bmm_dev_f32_enc,bmm_dev_f32_enc,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime.mm
apple,tessera_apple_gpu_bmm_dev_f32_enc,bmm_dev_f32_enc,,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime_stub.cpp
apple,tessera_apple_gpu_bmm_f16,bmm,f16,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime.mm
apple,tessera_apple_gpu_bmm_f16,bmm,f16,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime_stub.cpp
apple,tessera_apple_gpu_bmm_f32,bmm,f32,src/compiler/codegen/Tessera_Apple_Backend/runtime/apple_gpu_runtime.mm
