op,family,api,frontend,graph_ir,schedule_ir,tile_ir,target_ir,runtime,bench
attn_compressed_blocks,attention,public,public,registered,complete,partial,reference,ready,none
attn_local_window_2d,attention,public,public,registered,complete,partial,reference,ready,none
attn_sliding_window,attention,public,public,registered,complete,partial,reference,ready,none
attn_top_k_blocks,attention,public,public,registered,complete,partial,reference,ready,none
deepseek_sparse_attention,attention,public,public,registered,complete,partial,reference,ready,none
flash_attn,attention,public,public,registered,complete,partial,reference,ready,benchmarked
gated_attention,attention,public,public,registered,complete,partial,reference,ready,none
gated_deltanet,attention,public,public,registered,complete,partial,reference,ready,none
gqa_attention,attention,public,public,registered,complete,partial,fused,ready,none
hybrid_attention,attention,public,public,registered,complete,partial,reference,ready,none
kimi_delta_attention,attention,public,public,registered,complete,partial,reference,ready,none
lightning_attention,attention,public,public,registered,complete,partial,reference,ready,none
linear_attn,attention,public,public,registered,complete,partial,reference,ready,none
linear_attn_state,attention,public,public,registered,complete,partial,reference,ready,none
lookahead_sparse_attention,attention,public,public,registered,complete,partial,reference,ready,none
memory_index_score,attention,public,public,registered,complete,partial,reference,ready,none
mla_decode,attention,public,public,registered,complete,partial,fused,ready,none
mla_decode_fused,attention,public,public,registered,complete,partial,reference,ready,none
modified_delta_attention,attention,public,public,registered,complete,partial,reference,ready,none
mqa_attention,attention,public,public,registered,complete,partial,fused,ready,none
msa_index_scores,attention,public,public,registered,complete,partial,reference,ready,none
msa_sparse_attention,attention,public,public,registered,complete,partial,reference,ready,none
multi_head_attention,attention,public,public,registered,complete,partial,fused,ready,benchmarked
power_attn,attention,public,public,registered,complete,partial,reference,ready,none
retention,attention,public,public,registered,complete,partial,reference,ready,none
varlen_sdpa,attention,public,public,registered,complete,partial,reference,ready,none
all_gather,collective,public,public,registered,complete,partial,reference,ready,benchmarked
all_reduce,collective,public,public,registered,complete,partial,reference,ready,benchmarked
all_to_all,collective,public,public,registered,complete,partial,reference,ready,benchmarked
reduce_scatter,collective,public,public,registered,complete,partial,reference,ready,benchmarked
eq,comparison,public,public,registered,complete,partial,fused,ready,none
ge,comparison,public,public,registered,complete,partial,fused,ready,none
gt,comparison,public,public,registered,complete,partial,fused,ready,none
le,comparison,public,public,registered,complete,partial,fused,ready,none
lt,comparison,public,public,registered,complete,partial,fused,ready,none
ne,comparison,public,public,registered,complete,partial,fused,ready,none
einsum,contraction,public,public,registered,complete,partial,fused,ready,none
acos,elementwise,public,public,registered,complete,partial,fused,ready,none
add,elementwise,public,public,registered,complete,partial,reference,ready,none
asin,elementwise,public,public,registered,complete,partial,fused,ready,none
atan,elementwise,public,public,registered,complete,partial,fused,ready,none
atan2,elementwise,public,public,registered,complete,partial,reference,ready,none
clip,elementwise,public,public,registered,complete,partial,reference,ready,none
cos,elementwise,public,public,registered,complete,partial,fused,ready,none
cosh,elementwise,public,public,registered,complete,partial,fused,ready,none
digamma,elementwise,public,public,registered,complete,partial,reference,ready,none
div,elementwise,public,public,registered,complete,partial,fused,ready,none
erf,elementwise,public,public,registered,complete,partial,fused,ready,none
erfc,elementwise,public,public,registered,complete,partial,fused,ready,none
exp,elementwise,public,public,registered,complete,partial,fused,ready,none
expm1,elementwise,public,public,registered,complete,partial,fused,ready,none
floor_div,elementwise,public,public,registered,complete,partial,reference,ready,none
gelu,elementwise,public,public,registered,complete,partial,fused,ready,none
lgamma,elementwise,public,public,registered,complete,partial,reference,ready,none
log,elementwise,public,public,registered,complete,partial,fused,ready,none
log1p,elementwise,public,public,registered,complete,partial,fused,ready,none
mod,elementwise,public,public,registered,complete,partial,reference,ready,none
mul,elementwise,public,public,registered,complete,partial,reference,ready,none
popcount,elementwise,public,public,registered,complete,partial,reference,ready,none
pow,elementwise,public,public,registered,complete,partial,fused,ready,none
relu,elementwise,public,public,registered,complete,partial,fused,ready,none
rsqrt,elementwise,public,public,registered,complete,partial,fused,ready,none
score_combine,elementwise,public,public,registered,complete,partial,reference,ready,none
sigmoid,elementwise,public,public,registered,complete,partial,fused,ready,none
silu,elementwise,public,public,registered,complete,partial,fused,ready,none
silu_mul,elementwise,public,public,registered,complete,partial,fused,ready,none
sin,elementwise,public,public,registered,complete,partial,reference,ready,none
sinh,elementwise,public,public,registered,complete,partial,fused,ready,none
softcap,elementwise,public,public,registered,complete,partial,reference,ready,none
softplus,elementwise,public,public,registered,complete,partial,fused,ready,none
sqrt,elementwise,public,public,registered,complete,partial,fused,ready,none
sub,elementwise,public,public,registered,complete,partial,fused,ready,none
tan,elementwise,public,public,registered,complete,partial,fused,ready,none
tanh,elementwise,public,public,registered,complete,partial,fused,ready,none
ebm_bivector_langevin,energy_based_models,public,public,not_applicable,not_applicable,fused,fused,fused,benchmarked
ebm_decode_init,energy_based_models,public,public,not_applicable,complete,fused,fused,fused,benchmarked
ebm_energy,energy_based_models,public,public,not_applicable,complete,fused,fused,fused,benchmarked
ebm_energy_quadratic,energy_based_models,public,public,not_applicable,complete,fused,fused,ready,none
ebm_inner_step,energy_based_models,public,public,not_applicable,complete,fused,fused,ready,benchmarked
ebm_langevin_step,energy_based_models,public,public,not_applicable,complete,fused,fused,ready,benchmarked
ebm_partition_exact,energy_based_models,public,public,not_applicable,complete,fused,fused,fused,benchmarked
ebm_refinement,energy_based_models,public,public,not_applicable,complete,fused,fused,ready,benchmarked
ebm_self_verify,energy_based_models,public,public,not_applicable,complete,fused,fused,ready,benchmarked
ebm_sphere_langevin,energy_based_models,public,public,not_applicable,not_applicable,fused,fused,fused,benchmarked
adafactor,functional_optimizer_step,public,public,registered,complete,partial,reference,ready,none
adam,functional_optimizer_step,public,public,registered,complete,partial,reference,ready,none
adamw,functional_optimizer_step,public,public,registered,complete,partial,reference,ready,none
lion,functional_optimizer_step,public,public,registered,complete,partial,reference,ready,none
momentum,functional_optimizer_step,public,public,registered,complete,partial,reference,ready,none
sgd,functional_optimizer_step,public,public,registered,complete,partial,reference,ready,none
fused_epilogue,fused_epilogue,public,public,registered,complete,partial,reference,ready,none
