td_file,op_class,has_verifier_declared,verify_impl_present,impl_status
src/compiler/ir/TesseraOps.td,ALiBiOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,AdafactorOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,AdamOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,AdamWOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,AddOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,AllGatherOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,AllReduceOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,ArchGumbelSoftmaxOp,1,1,real
src/compiler/ir/TesseraOps.td,ArchHardConcreteOp,1,1,real
src/compiler/ir/TesseraOps.td,ArchMixedOp,1,1,real
src/compiler/ir/TesseraOps.td,ArchParameterOp,1,1,real
src/compiler/ir/TesseraOps.td,ArchSTEOneHotOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,ArchSwitchOp,1,1,real
src/compiler/ir/TesseraOps.td,ArchWeightedSumOp,1,1,real
src/compiler/ir/TesseraOps.td,AttnCompressedBlocksOp,1,1,real
src/compiler/ir/TesseraOps.td,AttnLocalWindow2DOp,1,1,real
src/compiler/ir/TesseraOps.td,AttnSlidingWindowOp,1,1,real
src/compiler/ir/TesseraOps.td,AttnTopKBlocksOp,1,1,real
src/compiler/ir/TesseraOps.td,BatchedGemmOp,1,1,real
src/compiler/ir/TesseraOps.td,BroadcastOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,CachePageLookupOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,CastOp,1,1,real
src/compiler/ir/TesseraOps.td,CholeskyOp,1,1,real
src/compiler/ir/TesseraOps.td,CholeskySolveOp,1,1,real
src/compiler/ir/TesseraOps.td,CliffordGeometricProductOp,1,1,real
src/compiler/ir/TesseraOps.td,CliffordGradeProjectOp,1,1,real
src/compiler/ir/TesseraOps.td,CliffordInnerProductOp,1,1,real
src/compiler/ir/TesseraOps.td,CliffordNormOp,1,1,real
src/compiler/ir/TesseraOps.td,CliffordOuterProductOp,1,1,real
src/compiler/ir/TesseraOps.td,CliffordReverseOp,1,1,real
src/compiler/ir/TesseraOps.td,CliffordRotorSandwichOp,1,1,real
src/compiler/ir/TesseraOps.td,ControlForOp,1,1,real
src/compiler/ir/TesseraOps.td,ControlIfOp,1,1,real
src/compiler/ir/TesseraOps.td,ControlWhileOp,1,1,real
src/compiler/ir/TesseraOps.td,Conv2DNHWCOp,1,1,real
src/compiler/ir/TesseraOps.td,CustomAdjointCallOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,DCTOp,1,1,real
src/compiler/ir/TesseraOps.td,DeepSeekSparseAttentionOp,1,1,real
src/compiler/ir/TesseraOps.td,DequantGroupedGemmOp,1,1,real
src/compiler/ir/TesseraOps.td,DequantMatmulOp,1,1,real
src/compiler/ir/TesseraOps.td,DequantizeFP4Op,1,1,real
src/compiler/ir/TesseraOps.td,DequantizeFP8Op,1,1,real
src/compiler/ir/TesseraOps.td,DiffusionBlockStepOp,1,1,real
src/compiler/ir/TesseraOps.td,DivOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,DropoutOp,1,1,real
src/compiler/ir/TesseraOps.td,EBMBivectorLangevinStepOp,1,1,real
src/compiler/ir/TesseraOps.td,EBMDecodeInitOp,1,1,real
src/compiler/ir/TesseraOps.td,EBMEnergyQuadraticOp,1,1,real
src/compiler/ir/TesseraOps.td,EBMInnerStepOp,1,1,real
src/compiler/ir/TesseraOps.td,EBMLangevinStepOp,1,1,real
src/compiler/ir/TesseraOps.td,EBMLangevinStepPhiloxOp,1,1,real
src/compiler/ir/TesseraOps.td,EBMPartitionExactOp,1,1,real
src/compiler/ir/TesseraOps.td,EBMRefinementOp,1,1,real
src/compiler/ir/TesseraOps.td,EBMSelfVerifyOp,1,1,real
src/compiler/ir/TesseraOps.td,EBMSphereLangevinStepOp,1,1,real
src/compiler/ir/TesseraOps.td,ExpandOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,FFTOp,1,1,real
src/compiler/ir/TesseraOps.td,FlashAttnOp,1,1,real
src/compiler/ir/TesseraOps.td,FlattenOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,FusedEpilogueOp,1,1,real
src/compiler/ir/TesseraOps.td,GQAAttentionOp,1,1,real
src/compiler/ir/TesseraOps.td,GatedAttentionOp,1,1,real
src/compiler/ir/TesseraOps.td,GatedDeltaNetOp,1,1,real
src/compiler/ir/TesseraOps.td,GeluOp,0,0,no_verifier
src/compiler/ir/TesseraOps.td,GroupedGemmOp,1,1,real
src/compiler/ir/TesseraOps.td,GuidedDenoiseRegionOp,1,1,real
src/compiler/ir/TesseraOps.td,HybridAttentionOp,1,1,real
src/compiler/ir/TesseraOps.td,IFFTOp,1,1,real
src/compiler/ir/TesseraOps.td,IRFFTOp,1,1,real
src/compiler/ir/TesseraOps.td,KVCacheAppendOp,1,1,real
src/compiler/ir/TesseraOps.td,KVCacheCreateOp,1,1,real
src/compiler/ir/TesseraOps.td,KVCachePruneOp,1,1,real
src/compiler/ir/TesseraOps.td,KimiDeltaAttentionOp,1,1,real
src/compiler/ir/TesseraOps.td,LUOp,1,1,real
src/compiler/ir/TesseraOps.td,LatentKVCompressOp,1,1,real
src/compiler/ir/TesseraOps.td,LatentKVExpandKOp,1,1,real
